date,balance,perfectBalance,unrealizedPL,unrealizedPLPerc,NAV,marginUsed,marginAvail,openTrades,openOrders,profitableTradeCount,unprofitableTradeCount
"Fri Jan 6 2:00:00 CST 2012",100.0000,100.0000,-0.1067,-0.1067,99.8933,2.9000,96.9933,1,0,0,0
"Fri Jan 6 3:00:00 CST 2012",100.0000,100.0000,-0.2839,-0.2839,99.7161,2.9000,96.8161,1,0,0,0
"Fri Jan 6 4:00:00 CST 2012",100.0000,100.0000,-0.2128,-0.2128,99.7872,2.9000,96.8872,1,0,0,0
"Fri Jan 6 5:00:00 CST 2012",100.0000,100.0000,-0.1511,-0.1511,99.8489,2.9000,96.9489,1,0,0,0
"Fri Jan 6 6:00:00 CST 2012",100.0000,100.0000,-0.3200,-0.3200,99.6800,2.9000,96.7800,1,0,0,0
"Fri Jan 6 7:00:00 CST 2012",100.0000,100.0000,0.0690,0.0690,100.0690,2.9000,97.1690,1,0,0,0
"Fri Jan 6 8:00:00 CST 2012",100.0000,100.0000,0.1668,0.1668,100.1668,2.9000,97.2668,1,0,0,0
"Fri Jan 6 9:00:00 CST 2012",100.0000,100.0000,0.3109,0.3109,100.3109,2.9000,97.4109,1,0,0,0
"Fri Jan 6 10:00:00 CST 2012",100.0000,100.0000,0.2872,0.2872,100.2872,2.9000,97.3872,1,0,0,0
"Fri Jan 6 11:00:00 CST 2012",100.0000,100.0000,0.2041,0.2041,100.2041,2.9000,97.3041,1,0,0,0
"Fri Jan 6 12:00:00 CST 2012",100.0000,100.0000,0.4030,0.4030,100.4030,2.9000,97.5030,1,0,0,0
"Fri Jan 6 13:00:00 CST 2012",100.0000,100.0000,0.4241,0.4241,100.4241,2.9000,97.5241,1,0,0,0
"Fri Jan 6 14:00:00 CST 2012",100.0000,100.0000,0.5076,0.5076,100.5076,2.9000,97.6076,1,0,0,0
"Fri Jan 6 15:00:00 CST 2012",100.0000,100.0000,0.4975,0.4975,100.4975,2.9000,97.5975,1,0,0,0
"Fri Jan 6 16:00:00 CST 2012",100.0000,100.0000,0.6170,0.6170,100.6170,2.9000,97.7170,1,0,0,0
"Sun Jan 8 11:00:00 CST 2012",100.0000,100.0000,0.6380,0.6380,100.6380,2.9000,97.7380,1,0,0,0
"Sun Jan 8 12:00:00 CST 2012",100.0000,100.0000,0.6447,0.6447,100.6447,2.9000,97.7447,1,0,0,0
"Sun Jan 8 13:00:00 CST 2012",100.0000,100.0000,0.5674,0.5674,100.5674,2.9000,97.6674,1,0,0,0
"Sun Jan 8 14:00:00 CST 2012",100.0000,100.0000,0.5918,0.5918,100.5918,2.9000,97.6918,1,0,0,0
"Sun Jan 8 15:00:00 CST 2012",100.0000,100.0000,0.5859,0.5859,100.5859,2.9000,97.6859,1,0,0,0
"Sun Jan 8 16:00:00 CST 2012",100.0000,100.0000,0.5901,0.5901,100.5901,2.9000,97.6901,1,0,0,0
"Sun Jan 8 17:00:00 CST 2012",100.0000,100.0000,0.7261,0.7261,100.7261,2.9000,97.8261,1,0,0,0
"Sun Jan 8 18:00:00 CST 2012",100.0000,100.0000,0.6951,0.6951,100.6951,2.9000,97.7951,1,0,0,0
"Sun Jan 8 19:00:00 CST 2012",100.0000,100.0000,0.7923,0.7923,100.7923,2.9000,97.8923,1,0,0,0
"Sun Jan 8 20:00:00 CST 2012",100.0000,100.0000,0.8350,0.8350,100.8350,2.9000,97.9350,1,0,0,0
"Sun Jan 8 21:00:00 CST 2012",100.0000,100.0000,0.8174,0.8174,100.8174,2.9000,97.9174,1,0,0,0
"Sun Jan 8 22:00:00 CST 2012",100.0000,100.0000,0.9051,0.9051,100.9051,2.9000,98.0051,1,0,0,0
"Sun Jan 8 23:00:00 CST 2012",100.0000,100.0000,0.8634,0.8634,100.8634,2.9000,97.9634,1,0,0,0
"Mon Jan 9 0:00:00 CST 2012",100.0000,100.0000,0.9043,0.9043,100.9043,2.9000,98.0043,1,0,0,0
"Mon Jan 9 1:00:00 CST 2012",100.0000,100.0000,0.8207,0.8207,100.8207,2.9000,97.9207,1,0,0,0
"Mon Jan 9 2:00:00 CST 2012",100.0000,100.0000,0.7169,0.7169,100.7169,2.9000,97.8169,1,0,0,0
"Mon Jan 9 3:00:00 CST 2012",100.0000,100.0000,0.5910,0.5910,100.5910,2.9000,97.6910,1,0,0,0
"Mon Jan 9 4:00:00 CST 2012",100.0000,100.0000,0.5733,0.5733,100.5733,2.9000,97.6733,1,0,0,0
"Mon Jan 9 5:00:00 CST 2012",100.0000,100.0000,0.6825,0.6825,100.6825,2.9000,97.7825,1,0,0,0
"Mon Jan 9 6:00:00 CST 2012",100.0000,100.0000,0.6766,0.6766,100.6766,2.9000,97.7766,1,0,0,0
"Mon Jan 9 7:00:00 CST 2012",100.0000,100.0000,0.5859,0.5859,100.5859,2.9000,97.6859,1,0,0,0
"Mon Jan 9 8:00:00 CST 2012",100.0000,100.0000,0.4224,0.4224,100.4224,2.9000,97.5224,1,0,0,0
"Mon Jan 9 9:00:00 CST 2012",100.0000,100.0000,0.5253,0.5253,100.5253,2.9000,97.6253,1,0,0,0
"Mon Jan 9 10:00:00 CST 2012",100.0000,100.0000,0.4891,0.4891,100.4891,2.9000,97.5891,1,0,0,0
"Mon Jan 9 11:00:00 CST 2012",100.0000,100.0000,0.5607,0.5607,100.5607,2.9000,97.6607,1,0,0,0
"Mon Jan 9 12:00:00 CST 2012",100.0000,100.0000,0.4680,0.4680,100.4680,2.9000,97.5680,1,0,0,0
"Mon Jan 9 13:00:00 CST 2012",100.0000,100.0000,0.4511,0.4511,100.4511,2.9000,97.5511,1,0,0,0
"Mon Jan 9 14:00:00 CST 2012",100.0000,100.0000,0.3143,0.3143,100.3143,2.9000,97.4143,1,0,0,0
"Mon Jan 9 15:00:00 CST 2012",100.0000,100.0000,0.1744,0.1744,100.1744,2.9000,97.2744,1,0,0,0
"Mon Jan 9 16:00:00 CST 2012",100.0000,100.0000,0.2287,0.2287,100.2287,2.9000,97.3287,1,0,0,0
"Mon Jan 9 17:00:00 CST 2012",100.0000,100.0000,0.2490,0.2490,100.2490,2.9000,97.3490,1,0,0,0
"Mon Jan 9 18:00:00 CST 2012",100.0000,100.0000,0.1515,0.1515,100.1515,2.9000,97.2515,1,0,0,0
"Mon Jan 9 19:00:00 CST 2012",100.0000,100.0000,0.1498,0.1498,100.1498,2.9000,97.2498,1,0,0,0
"Mon Jan 9 20:00:00 CST 2012",100.0000,100.0000,0.0775,0.0775,100.0775,2.9000,97.1775,1,0,0,0
"Mon Jan 9 21:00:00 CST 2012",100.0000,100.0000,0.0920,0.0920,100.0920,2.9000,97.1920,1,0,0,0
"Mon Jan 9 22:00:00 CST 2012",100.0000,100.0000,-0.0128,-0.0128,99.9872,2.9000,97.0872,1,0,0,0
"Mon Jan 9 23:00:00 CST 2012",100.0000,100.0000,-0.0930,-0.0930,99.9070,2.9000,97.0070,1,0,0,0
"Tue Jan 10 0:00:00 CST 2012",100.0000,100.0000,-0.1092,-0.1092,99.8908,2.9000,96.9908,1,0,0,0
"Tue Jan 10 1:00:00 CST 2012",100.0000,100.0000,-0.1323,-0.1323,99.8677,2.9000,96.9677,1,0,0,0
"Tue Jan 10 2:00:00 CST 2012",100.0000,100.0000,0.0026,0.0026,100.0026,2.9000,97.1026,1,0,0,0
"Tue Jan 10 3:00:00 CST 2012",100.0000,100.0000,-0.0776,-0.0776,99.9224,2.9000,97.0224,1,0,0,0
"Tue Jan 10 4:00:00 CST 2012",100.0000,100.0000,-0.1340,-0.1340,99.8660,2.9000,96.9660,1,0,0,0
"Tue Jan 10 5:00:00 CST 2012",100.0000,100.0000,-0.1623,-0.1623,99.8377,2.9000,96.9377,1,0,0,0
"Tue Jan 10 6:00:00 CST 2012",100.0000,100.0000,-0.2668,-0.2668,99.7332,2.9000,96.8332,1,0,0,0
"Tue Jan 10 7:00:00 CST 2012",100.0000,100.0000,-0.3140,-0.3140,99.6860,2.9000,96.7860,1,0,0,0
"Tue Jan 10 8:00:00 CST 2012",100.0000,100.0000,-0.3080,-0.3080,99.6920,2.9000,96.7920,1,0,0,0
"Tue Jan 10 9:00:00 CST 2012",100.0000,100.0000,-0.2265,-0.2265,99.7735,2.9000,96.8735,1,0,0,0
"Tue Jan 10 10:00:00 CST 2012",100.0000,100.0000,-0.1717,-0.1717,99.8283,2.9000,96.9283,1,0,0,0
"Tue Jan 10 11:00:00 CST 2012",100.0000,100.0000,-0.3853,-0.3853,99.6147,2.9000,96.7147,1,0,0,0
"Tue Jan 10 12:00:00 CST 2012",100.0000,100.0000,-0.2899,-0.2899,99.7101,2.9000,96.8101,1,0,0,0
"Tue Jan 10 13:00:00 CST 2012",100.0000,100.0000,-0.3535,-0.3535,99.6465,2.9000,96.7465,1,0,0,0
"Tue Jan 10 14:00:00 CST 2012",100.0000,100.0000,-0.4257,-0.4257,99.5743,2.9000,96.6743,1,0,0,0
"Tue Jan 10 15:00:00 CST 2012",100.0000,100.0000,-0.3406,-0.3406,99.6594,2.9000,96.7594,1,0,0,0
"Tue Jan 10 16:00:00 CST 2012",100.0000,100.0000,-0.4636,-0.4636,99.5364,2.9000,96.6364,1,0,0,0
"Tue Jan 10 17:00:00 CST 2012",100.0000,100.0000,-0.3354,-0.3354,99.6646,2.9000,96.7646,1,0,0,0
"Tue Jan 10 18:00:00 CST 2012",100.0000,100.0000,-0.2908,-0.2908,99.7092,2.9000,96.8092,1,0,0,0
"Tue Jan 10 19:00:00 CST 2012",100.0000,100.0000,-0.2402,-0.2402,99.7598,2.9000,96.8598,1,0,0,0
"Tue Jan 10 20:00:00 CST 2012",100.0000,100.0000,-0.2351,-0.2351,99.7649,2.9000,96.8649,1,0,0,0
"Tue Jan 10 21:00:00 CST 2012",100.0000,100.0000,-0.2248,-0.2248,99.7752,2.9000,96.8752,1,0,0,0
"Tue Jan 10 22:00:00 CST 2012",100.0000,100.0000,-0.2411,-0.2411,99.7589,2.9000,96.8589,1,0,0,0
"Tue Jan 10 23:00:00 CST 2012",100.0000,100.0000,-0.2659,-0.2659,99.7341,2.9000,96.8341,1,0,0,0
"Wed Jan 11 0:00:00 CST 2012",100.0000,100.0000,-0.2693,-0.2693,99.7307,2.9000,96.8307,1,0,0,0
"Wed Jan 11 1:00:00 CST 2012",100.0000,100.0000,-0.4034,-0.4034,99.5966,2.9000,96.6966,1,0,0,0
"Wed Jan 11 2:00:00 CST 2012",100.0000,100.0000,-0.4275,-0.4275,99.5725,2.9000,96.6725,1,0,0,0
"Wed Jan 11 3:00:00 CST 2012",100.0000,100.0000,-0.5197,-0.5197,99.4803,2.9000,96.5803,1,0,0,0
